scale,capability,region,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
3B,relational_reasoning,vision,0.017849414271899712,mid,64,0.0003124999999999812,0.0,0.03010236442125435,-0.06000000000000005,0.05999999999999994,0.40625,0.59375,0.40625,0.046875,0.012499999999999992,0.01218750000000001,-0.020000000000000018,0.0,0.020000000000000018,0.039999999999999925,0.039999999999999925
3B,fine_grained_recognition,vision,0.017849414271899712,mid,64,-0.0012499999999999976,0.0,0.004841229182759262,-0.019999999999999962,0.0,0.0,0.9375,0.0,0.0,0.0,0.0012499999999999976,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,vision,0.07139765708759885,transition,64,0.004062500000000004,0.0,0.012835345486195542,-0.020000000000000018,0.020000000000000018,0.328125,0.875,0.328125,0.0,0.006562500000000006,0.0025000000000000022,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
3B,counting,vision,0.07139765708759885,transition,64,-0.009687500000000028,-0.020000000000000018,0.01936239509332457,-0.040000000000000036,0.039999999999999925,0.171875,0.421875,0.03125,0.0,0.0040624999999999845,0.013750000000000012,-0.020000000000000018,-0.020000000000000018,0.0,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,vision,0.07139765708759885,transition,64,-0.0043749999999999675,0.0,0.022211694554896053,-0.07999999999999996,0.040000000000000036,0.203125,0.671875,0.203125,0.0,0.005312500000000005,0.009687499999999972,-0.019999999999999907,0.0,0.0,0.020000000000000018,0.03699999999999992
3B,ocr_text_recognition_grounded,vision,0.07139765708759885,transition,64,-0.009031249999999987,0.0,0.016654549631782294,-0.05999999999999994,0.020000000000000018,0.171875,0.53125,0.09375,0.0,0.0020625000000000036,0.01109374999999999,-0.020000000000000018,0.0,0.0,0.0034000000000000865,0.020000000000000018
3B,relational_reasoning,vision,0.07139765708759885,transition,64,0.010937499999999968,0.020000000000000018,0.04091602490162014,-0.08000000000000002,0.07999999999999996,0.53125,0.703125,0.53125,0.171875,0.02312499999999998,0.01218750000000001,-0.020000000000000018,0.020000000000000018,0.039999999999999925,0.05999999999999994,0.07699999999999985
3B,fine_grained_recognition,vision,0.07139765708759885,transition,64,-0.017187499999999984,-0.019999999999999962,0.01899578489428641,-0.06,0.020000000000000018,0.03125,0.40625,0.03125,0.0,0.0006250000000000006,0.017812499999999985,-0.019999999999999962,-0.019999999999999962,0.0,0.0,0.0
3B,visual_grounding,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.00437499999999998,0.0,0.008267972847076808,0.0,0.019999999999999907,0.21875,1.0,0.0,0.0,0.00437499999999998,0.0,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907
