capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
ocr_text_recognition_grounded,vision,0.0035698828543799426,64,-0.002187500000000002,0.0,0.0062421826110744365,0.0,0.890625,0.0,0.0,0.0,0.002187500000000002
ocr_text_recognition_grounded,vision,0.017849414271899712,64,-0.0077812500000000034,0.0,0.010989296994689878,0.015625,0.640625,0.0,0.0,3.125000000000003e-05,0.007812500000000003
ocr_text_recognition_grounded,vision,0.07139765708759885,64,-0.009031249999999987,0.0,0.016654549631782294,0.171875,0.53125,0.09375,0.0,0.0020625000000000036,0.01109374999999999
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.07139765708759885,64,-0.0015000000000000013,0.0,0.005396758286230731,0.03125,0.921875,0.0,0.0,6.250000000000006e-05,0.0015625000000000014
ocr_text_recognition_grounded,language,0.0035698828543799426,64,-0.0002187500000000002,0.0,0.0025277753930086455,0.046875,0.984375,0.0,0.0,9.375000000000008e-05,0.0003125000000000003
ocr_text_recognition_grounded,language,0.017849414271899712,64,-0.007218749999999991,0.0,0.011525066092543664,0.1875,0.65625,0.0,0.0,0.00037500000000000033,0.007593749999999991
ocr_text_recognition_grounded,language,0.07139765708759885,64,-0.03965624999999994,-0.03799999999999992,0.02476528489514101,0.078125,0.109375,0.015625,0.0,0.00046875000000000215,0.040124999999999945
relational_reasoning,vision,0.0035698828543799426,64,-0.006875000000000011,0.0,0.023774658252012804,0.21875,0.53125,0.21875,0.015625,0.0059375,0.012812500000000011
relational_reasoning,vision,0.017849414271899712,64,0.0003124999999999812,0.0,0.03010236442125435,0.40625,0.59375,0.40625,0.046875,0.012499999999999992,0.01218750000000001
relational_reasoning,vision,0.07139765708759885,64,0.010937499999999968,0.020000000000000018,0.04091602490162014,0.53125,0.703125,0.53125,0.171875,0.02312499999999998,0.01218750000000001
relational_reasoning,multimodal_connector_or_merger,0.0035698828543799426,64,0.001249999999999996,0.0,0.01763341997458236,0.328125,0.6875,0.328125,0.0,0.0075000000000000015,0.0062500000000000056
relational_reasoning,multimodal_connector_or_merger,0.017849414271899712,64,-0.00718750000000001,-0.020000000000000018,0.017807016699885478,0.171875,0.484375,0.171875,0.0,0.0040625,0.01125000000000001
relational_reasoning,multimodal_connector_or_merger,0.07139765708759885,64,-0.00875000000000001,-0.010000000000000009,0.016909686573085864,0.125,0.5,0.125,0.0,0.0028125000000000008,0.01156250000000001
relational_reasoning,language,0.0035698828543799426,64,-0.010937500000000011,-0.010000000000000009,0.019978015260530776,0.140625,0.5,0.140625,0.0,0.003125000000000001,0.014062500000000012
relational_reasoning,language,0.017849414271899712,64,0.004999999999999982,0.0,0.030618621784789718,0.40625,0.640625,0.40625,0.109375,0.01468749999999999,0.009687500000000009
relational_reasoning,language,0.07139765708759885,64,-0.02406250000000003,-0.020000000000000018,0.058221526034191166,0.28125,0.359375,0.28125,0.09375,0.013124999999999989,0.03718750000000002
fine_grained_recognition,vision,0.0035698828543799426,64,-0.0003124999999999994,0.0,0.0024803918541230485,0.0,0.984375,0.0,0.0,0.0,0.0003124999999999994
fine_grained_recognition,vision,0.017849414271899712,64,-0.0012499999999999976,0.0,0.004841229182759262,0.0,0.9375,0.0,0.0,0.0,0.0012499999999999976
fine_grained_recognition,vision,0.07139765708759885,64,-0.017187499999999984,-0.019999999999999962,0.01899578489428641,0.03125,0.40625,0.03125,0.0,0.0006250000000000006,0.017812499999999985
fine_grained_recognition,multimodal_connector_or_merger,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,multimodal_connector_or_merger,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,multimodal_connector_or_merger,0.07139765708759885,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,language,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,language,0.017849414271899712,64,-0.008749999999999987,0.0,0.012686114456365262,0.0,0.640625,0.0,0.0,0.0,0.008749999999999987
fine_grained_recognition,language,0.07139765708759885,64,-0.04781249999999998,-0.03999999999999998,0.04162589150696955,0.0625,0.171875,0.0625,0.015625,0.002187500000000001,0.04999999999999998
