scale,capability,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,p_delta_lt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
7B,relational_reasoning,0.0035698828543799426,small,64,-0.016875000000000015,-0.020000000000000018,0.016286017775994244,-0.040000000000000036,0.020000000000000018,0.015625,0.609375,0.390625,0.015625,0.0,0.0003125000000000003,0.017187500000000015,-0.025000000000000022,-0.020000000000000018,0.0,0.0,0.0
7B,fine_grained_recognition,0.0035698828543799426,small,64,-0.0012500000000000011,0.0,0.0048412291827592754,-0.020000000000000018,0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0012500000000000011,0.0,0.0,0.0,0.0,0.0
7B,visual_grounding,0.017849414271899712,mid,64,0.012812500000000022,0.020000000000000018,0.018154609435347264,-0.019999999999999907,0.06000000000000005,0.546875,0.09375,0.90625,0.546875,0.015625,0.014687500000000013,0.0018749999999999913,0.0,0.020000000000000018,0.020000000000000018,0.040000000000000036,0.040000000000000036
7B,counting,0.017849414271899712,mid,64,-0.035624999999999934,-0.039999999999999925,0.022491317769308225,-0.09999999999999998,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.035624999999999934,-0.04499999999999993,-0.039999999999999925,-0.019999999999999907,0.0,0.0
7B,spatial_reasoning,0.017849414271899712,mid,64,0.007500000000000007,0.0,0.010307764064044161,-0.020000000000000018,0.020000000000000018,0.390625,0.015625,0.984375,0.390625,0.0,0.007812500000000007,0.0003125000000000003,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
7B,ocr_text_recognition_grounded,0.017849414271899712,mid,64,-0.009093750000000008,0.0,0.012353793382499964,-0.039999999999999925,0.02199999999999991,0.046875,0.46875,0.53125,0.03125,0.0,0.0006874999999999971,0.009781250000000005,-0.020000000000000018,0.0,0.0,0.0,0.0
7B,relational_reasoning,0.017849414271899712,mid,64,-0.009062500000000018,0.0,0.029353383003497234,-0.06000000000000005,0.05999999999999994,0.265625,0.46875,0.53125,0.265625,0.015625,0.007499999999999996,0.016562500000000015,-0.040000000000000036,0.0,0.020000000000000018,0.020000000000000018,0.039999999999999925
7B,fine_grained_recognition,0.017849414271899712,mid,64,0.0031249999999999898,0.0,0.01285435237575195,-0.020000000000000018,0.03999999999999998,0.234375,0.109375,0.890625,0.03125,0.0,0.005312499999999992,0.002187500000000002,0.0,0.0,0.0,0.019999999999999962,0.019999999999999962
7B,visual_grounding,0.07139765708759885,transition,64,0.03312500000000003,0.040000000000000036,0.023242942477233828,-0.019999999999999907,0.08000000000000007,0.84375,0.03125,0.96875,0.84375,0.21875,0.03375000000000003,0.0006249999999999971,0.020000000000000018,0.040000000000000036,0.040000000000000036,0.06000000000000005,0.07699999999999996
7B,counting,0.07139765708759885,transition,64,-0.06906249999999994,-0.06999999999999995,0.03219660065519341,-0.1399999999999999,0.0,0.0,0.96875,0.03125,0.0,0.0,0.0,0.06906249999999994,-0.09999999999999998,-0.06999999999999995,-0.05499999999999994,-0.019999999999999907,-0.019999999999999907
7B,spatial_reasoning,0.07139765708759885,transition,64,-0.008124999999999978,0.0,0.031168644099479195,-0.09999999999999998,0.06000000000000005,0.296875,0.453125,0.546875,0.296875,0.015625,0.008437500000000007,0.016562499999999987,-0.039999999999999925,0.0,0.020000000000000018,0.034000000000000086,0.040000000000000036
7B,ocr_text_recognition_grounded,0.07139765708759885,transition,64,-0.02190625000000003,-0.020000000000000018,0.027242957088713767,-0.08199999999999996,0.041999999999999926,0.1875,0.765625,0.234375,0.078125,0.0,0.0032187499999999907,0.025125000000000022,-0.039999999999999925,-0.020000000000000018,-0.0020000000000000018,0.010799999999999943,0.020000000000000018
7B,relational_reasoning,0.07139765708759885,transition,64,-0.030312500000000027,-0.020000000000000018,0.05184016149425077,-0.2,0.07999999999999996,0.15625,0.65625,0.34375,0.15625,0.078125,0.007187499999999994,0.03750000000000002,-0.06000000000000005,-0.020000000000000018,0.0,0.03400000000000001,0.05999999999999994
7B,fine_grained_recognition,0.07139765708759885,transition,64,0.01843749999999998,0.019999999999999962,0.03168293852769973,-0.08000000000000002,0.08000000000000002,0.671875,0.21875,0.78125,0.359375,0.125,0.024374999999999987,0.005937500000000004,0.0,0.019999999999999962,0.03999999999999998,0.06,0.0769999999999999
