scale,capability,radius,radius_label,delta_sorted,ecdf
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.203125
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.21875
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.234375
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.25
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.265625
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.28125
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.296875
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.3125
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.328125
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.34375
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.359375
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.375
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.390625
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.40625
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.421875
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.4375
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.453125
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.46875
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.484375
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.5
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.515625
3B,counting,0.07139765708759885,transition,-0.020000000000000018,0.53125
3B,counting,0.07139765708759885,transition,0.0,0.546875
3B,counting,0.07139765708759885,transition,0.0,0.5625
3B,counting,0.07139765708759885,transition,0.0,0.578125
3B,counting,0.07139765708759885,transition,0.0,0.59375
3B,counting,0.07139765708759885,transition,0.0,0.609375
3B,counting,0.07139765708759885,transition,0.0,0.625
3B,counting,0.07139765708759885,transition,0.0,0.640625
3B,counting,0.07139765708759885,transition,0.0,0.65625
3B,counting,0.07139765708759885,transition,0.0,0.671875
3B,counting,0.07139765708759885,transition,0.0,0.6875
3B,counting,0.07139765708759885,transition,0.0,0.703125
3B,counting,0.07139765708759885,transition,0.0,0.71875
3B,counting,0.07139765708759885,transition,0.0,0.734375
3B,counting,0.07139765708759885,transition,0.0,0.75
3B,counting,0.07139765708759885,transition,0.0,0.765625
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.78125
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.796875
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.8125
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.828125
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.84375
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.859375
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.875
3B,counting,0.07139765708759885,transition,0.019999999999999907,0.890625
3B,counting,0.07139765708759885,transition,0.039999999999999925,0.90625
3B,counting,0.07139765708759885,transition,0.039999999999999925,0.921875
3B,counting,0.07139765708759885,transition,0.039999999999999925,0.9375
3B,counting,0.07139765708759885,transition,0.039999999999999925,0.953125
3B,counting,0.07139765708759885,transition,0.039999999999999925,0.96875
3B,counting,0.07139765708759885,transition,0.039999999999999925,0.984375
3B,counting,0.07139765708759885,transition,0.05999999999999994,1.0
3B,spatial_reasoning,0.0035698828543799426,small,-0.039999999999999925,0.015625
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.03125
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.046875
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.0625
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.078125
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.09375
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.109375
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.125
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.140625
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.15625
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.171875
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.1875
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.203125
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.21875
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.234375
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.25
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.265625
