capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
spatial_reasoning,language_mid,0.07139765708759885,64,-0.01593749999999996,0.0,0.06857292536963841,0.46875,0.578125,0.46875,0.109375,0.017500000000000016,0.033437499999999974
spatial_reasoning,language_late,0.0035698828543799426,64,-0.0006249999999999693,0.0,0.014986973510352221,0.234375,0.71875,0.234375,0.0,0.0050000000000000044,0.005624999999999974
spatial_reasoning,language_late,0.017849414271899712,64,0.010625000000000016,0.020000000000000018,0.014563975247163803,0.515625,0.9375,0.515625,0.0,0.01187500000000001,0.0012499999999999942
spatial_reasoning,language_late,0.07139765708759885,64,0.01968750000000004,0.020000000000000018,0.0429377729248968,0.65625,0.8125,0.65625,0.21875,0.028750000000000026,0.009062499999999987
ocr_text_recognition_grounded,vision_early,0.0035698828543799426,64,-0.0025000000000000022,0.0,0.006614378277661482,0.0,0.875,0.0,0.0,0.0,0.0025000000000000022
ocr_text_recognition_grounded,vision_early,0.017849414271899712,64,-0.004343750000000002,0.0,0.009010789972999039,0.015625,0.796875,0.0,0.0,3.125000000000003e-05,0.004375000000000002
ocr_text_recognition_grounded,vision_early,0.07139765708759885,64,-0.007156249999999998,0.0,0.014321333245808499,0.078125,0.65625,0.0625,0.0,0.0012812500000000011,0.008437499999999999
ocr_text_recognition_grounded,vision_mid,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ocr_text_recognition_grounded,vision_mid,0.017849414271899712,64,-0.003437500000000003,0.0,0.007545435292281029,0.0,0.828125,0.0,0.0,0.0,0.003437500000000003
ocr_text_recognition_grounded,vision_mid,0.07139765708759885,64,-0.006874999999999999,0.0,0.012134017265522575,0.03125,0.65625,0.03125,0.0,0.0006562500000000006,0.00753125
ocr_text_recognition_grounded,vision_late,0.0035698828543799426,64,-0.0018750000000000017,0.0,0.005829611908180514,0.0,0.90625,0.0,0.0,0.0,0.0018750000000000017
ocr_text_recognition_grounded,vision_late,0.017849414271899712,64,-0.004343750000000004,0.0,0.008288204626908055,0.015625,0.78125,0.0,0.0,3.125000000000003e-05,0.004375000000000004
ocr_text_recognition_grounded,vision_late,0.07139765708759885,64,-0.008437499999999987,0.0,0.013040651584564304,0.0625,0.640625,0.0,0.0,0.0001250000000000001,0.008562499999999987
ocr_text_recognition_grounded,language_early,0.0035698828543799426,64,-0.00028125000000000025,0.0,0.0024966774796717356,0.015625,0.984375,0.0,0.0,3.125000000000003e-05,0.0003125000000000003
ocr_text_recognition_grounded,language_early,0.017849414271899712,64,-0.008656249999999989,0.0,0.013167453661870221,0.109375,0.640625,0.0,0.0,0.0002187500000000002,0.008874999999999989
ocr_text_recognition_grounded,language_early,0.07139765708759885,64,-0.030468749999999947,-0.03599999999999992,0.030211219330531808,0.15625,0.21875,0.09375,0.0,0.002187500000000002,0.03265624999999995
ocr_text_recognition_grounded,language_mid,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ocr_text_recognition_grounded,language_mid,0.017849414271899712,64,-0.0014062499999999995,0.0,0.006487292265460216,0.078125,0.9375,0.0,0.0,0.00015625000000000014,0.0015624999999999997
ocr_text_recognition_grounded,language_mid,0.07139765708759885,64,-0.014781249999999984,-0.017999999999999905,0.015813827760460124,0.140625,0.4375,0.0,0.0,0.00028125000000000025,0.015062499999999984
ocr_text_recognition_grounded,language_late,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ocr_text_recognition_grounded,language_late,0.017849414271899712,64,-0.004593750000000002,0.0,0.009237692403273668,0.046875,0.78125,0.0,0.0,9.375000000000008e-05,0.004687500000000002
ocr_text_recognition_grounded,language_late,0.07139765708759885,64,-0.01609374999999997,-0.017999999999999905,0.02146925035807024,0.234375,0.453125,0.0625,0.0,0.0017187500000000015,0.01781249999999997
relational_reasoning,vision_early,0.0035698828543799426,64,-0.009062500000000013,0.0,0.021485369295173872,0.15625,0.515625,0.15625,0.0,0.004062499999999998,0.013125000000000012
relational_reasoning,vision_early,0.017849414271899712,64,-0.0012500000000000115,0.0,0.02287875652215391,0.296875,0.671875,0.296875,0.0,0.0078124999999999965,0.009062500000000008
relational_reasoning,vision_early,0.07139765708759885,64,0.009374999999999982,0.020000000000000018,0.03353519606324077,0.546875,0.734375,0.546875,0.09375,0.01843749999999999,0.009062500000000006
relational_reasoning,vision_mid,0.0035698828543799426,64,-0.018437500000000023,-0.020000000000000018,0.0250760561841371,0.140625,0.328125,0.140625,0.0,0.003749999999999998,0.02218750000000002
relational_reasoning,vision_mid,0.017849414271899712,64,-0.013125000000000015,-0.020000000000000018,0.023242942477233828,0.171875,0.453125,0.171875,0.0,0.0040625,0.017187500000000015
relational_reasoning,vision_mid,0.07139765708759885,64,0.013124999999999979,0.020000000000000018,0.03539398783691941,0.53125,0.6875,0.53125,0.171875,0.021562499999999984,0.008437500000000007
relational_reasoning,vision_late,0.0035698828543799426,64,-0.015937500000000014,-0.020000000000000018,0.020365315950163915,0.140625,0.3125,0.140625,0.0,0.0028125000000000025,0.018750000000000017
relational_reasoning,vision_late,0.017849414271899712,64,-0.014062500000000018,-0.020000000000000018,0.024155663802719236,0.15625,0.375,0.15625,0.015625,0.004374999999999999,0.018437500000000016
relational_reasoning,vision_late,0.07139765708759885,64,0.0059374999999999845,0.0,0.0325345369376913,0.40625,0.65625,0.40625,0.09375,0.015312499999999993,0.009375000000000008
relational_reasoning,language_early,0.0035698828543799426,64,-0.009062500000000008,-0.020000000000000018,0.017295117627527157,0.15625,0.484375,0.15625,0.0,0.0031250000000000028,0.01218750000000001
relational_reasoning,language_early,0.017849414271899712,64,0.0034374999999999805,0.0,0.029059139590669227,0.40625,0.6875,0.40625,0.046875,0.013124999999999989,0.009687500000000009
