parent,capability,radius,region_a,region_b,mean_delta_diff,mean_delta_diff_bh_q,density_ge_0.02_diff,density_ge_0.02_diff_bh_q,positive_thicket_mass_diff,positive_thicket_mass_diff_bh_q
vision,spatial_reasoning,0.0035698828543799426,vision_mid,vision_late,0.003749999999999993,0.5549294117647059,0.078125,1.0,0.0018750000000000017,1.0
vision,spatial_reasoning,0.017849414271899712,vision_early,vision_mid,-0.0012500000000000046,1.0,-0.109375,0.9783000000000001,-0.0018750000000000017,1.0
vision,spatial_reasoning,0.017849414271899712,vision_early,vision_late,-0.0024999999999999988,0.9395999999999999,-0.109375,0.9783000000000001,-0.0018750000000000017,1.0
vision,spatial_reasoning,0.017849414271899712,vision_mid,vision_late,-0.0012499999999999942,1.0,0.0,1.0,0.0,1.0
vision,spatial_reasoning,0.07139765708759885,vision_early,vision_mid,0.0,1.0,-0.0625,1.0,-0.0009375000000000008,1.0
vision,spatial_reasoning,0.07139765708759885,vision_early,vision_late,-0.002499999999999992,1.0,-0.140625,0.9783000000000001,-0.002187500000000002,1.0
vision,spatial_reasoning,0.07139765708759885,vision_mid,vision_late,-0.002499999999999992,1.0,-0.078125,1.0,-0.0012500000000000011,1.0
vision,visual_grounding,0.0035698828543799426,vision_early,vision_mid,0.0,1.0,0.0,1.0,0.0,1.0
vision,visual_grounding,0.0035698828543799426,vision_early,vision_late,0.0,1.0,0.0,1.0,0.0,1.0
vision,visual_grounding,0.0035698828543799426,vision_mid,vision_late,0.0,1.0,0.0,1.0,0.0,1.0
vision,visual_grounding,0.017849414271899712,vision_early,vision_mid,0.0,1.0,0.0,1.0,0.0,1.0
vision,visual_grounding,0.017849414271899712,vision_early,vision_late,0.0,1.0,0.0,1.0,0.0,1.0
vision,visual_grounding,0.017849414271899712,vision_mid,vision_late,0.0,1.0,0.0,1.0,0.0,1.0
vision,visual_grounding,0.07139765708759885,vision_early,vision_mid,-0.0031250000000000028,0.37764000000000003,0.0,1.0,0.0,1.0
vision,visual_grounding,0.07139765708759885,vision_early,vision_late,-0.003437500000000003,0.25110000000000005,0.015625,1.0,0.0003125000000000003,1.0
vision,visual_grounding,0.07139765708759885,vision_mid,vision_late,-0.0003125000000000003,1.0,0.015625,1.0,0.0003125000000000003,1.0
language,counting,0.0035698828543799426,language_early,language_mid,0.00218749999999999,0.36440000000000006,0.0,1.0,0.00218749999999999,0.5489999999999999
language,counting,0.0035698828543799426,language_early,language_late,0.0037499999999999825,0.029699999999999997,0.0,1.0,0.0037499999999999825,0.1062
language,counting,0.0035698828543799426,language_mid,language_late,0.0015624999999999927,0.4323483870967742,0.0,1.0,0.0015624999999999927,0.65205
language,counting,0.017849414271899712,language_early,language_mid,0.0034374999999999857,0.16512631578947368,0.015625,1.0,0.0034374999999999857,0.2808
language,counting,0.017849414271899712,language_early,language_late,0.0034374999999999857,0.16512631578947368,0.015625,1.0,0.0034374999999999857,0.2808
language,counting,0.017849414271899712,language_mid,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,counting,0.07139765708759885,language_early,language_mid,-0.006562500000000002,0.20385,0.078125,0.7830000000000001,0.0012500000000000046,1.0
language,counting,0.07139765708759885,language_early,language_late,-0.0096875,0.030436363636363636,0.109375,0.35100000000000003,0.0009375000000000095,1.0
language,counting,0.07139765708759885,language_mid,language_late,-0.0031249999999999976,0.35432307692307696,0.03125,1.0,-0.0003124999999999951,1.0
language,fine_grained_recognition,0.0035698828543799426,language_early,language_mid,0.0,1.0,0.0,1.0,0.0,1.0
language,fine_grained_recognition,0.0035698828543799426,language_early,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,fine_grained_recognition,0.0035698828543799426,language_mid,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,fine_grained_recognition,0.017849414271899712,language_early,language_mid,-0.006249999999999989,0.0,0.0,1.0,0.0,1.0
language,fine_grained_recognition,0.017849414271899712,language_early,language_late,-0.0034374999999999944,0.13464,0.0,1.0,0.0,1.0
language,fine_grained_recognition,0.017849414271899712,language_mid,language_late,0.0028124999999999947,0.015525,0.0,1.0,0.0,1.0
language,fine_grained_recognition,0.07139765708759885,language_early,language_mid,-0.014999999999999989,0.0174,0.09375,0.7015500000000001,0.0025000000000000022,0.3501692307692308
language,fine_grained_recognition,0.07139765708759885,language_early,language_late,-0.008437499999999997,0.2527714285714286,0.0625,1.0,0.0015625000000000014,0.8978086956521739
language,fine_grained_recognition,0.07139765708759885,language_mid,language_late,0.006562499999999992,0.2538,-0.03125,1.0,-0.0009375000000000008,1.0
language,ocr_text_recognition_grounded,0.0035698828543799426,language_early,language_mid,-0.00028125000000000025,1.0,0.0,1.0,3.125000000000003e-05,1.0
language,ocr_text_recognition_grounded,0.0035698828543799426,language_early,language_late,-0.00028125000000000025,1.0,0.0,1.0,3.125000000000003e-05,1.0
language,ocr_text_recognition_grounded,0.0035698828543799426,language_mid,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,ocr_text_recognition_grounded,0.017849414271899712,language_early,language_mid,-0.007249999999999989,0.0,0.0,1.0,6.250000000000006e-05,1.0
language,ocr_text_recognition_grounded,0.017849414271899712,language_early,language_late,-0.004062499999999986,0.1480235294117647,0.0,1.0,0.0001250000000000001,0.7989545454545456
language,ocr_text_recognition_grounded,0.017849414271899712,language_mid,language_late,0.003187500000000003,0.0805846153846154,0.0,1.0,6.250000000000006e-05,1.0
language,ocr_text_recognition_grounded,0.07139765708759885,language_early,language_mid,-0.015687499999999965,0.0018000000000000002,0.09375,0.35100000000000003,0.0019062500000000017,0.15197142857142856
language,ocr_text_recognition_grounded,0.07139765708759885,language_early,language_late,-0.014374999999999978,0.015525,0.03125,1.0,0.0004687500000000004,1.0
language,ocr_text_recognition_grounded,0.07139765708759885,language_mid,language_late,0.0013124999999999856,1.0,-0.0625,0.7015500000000001,-0.0014375000000000013,0.2628
language,relational_reasoning,0.0035698828543799426,language_early,language_mid,-0.0003125000000000003,1.0,0.09375,0.7015500000000001,0.0018750000000000017,0.53325
language,relational_reasoning,0.0035698828543799426,language_early,language_late,0.0037500000000000033,0.42389999999999994,0.09375,0.7015500000000001,0.0018750000000000017,0.53325
language,relational_reasoning,0.0035698828543799426,language_mid,language_late,0.004062500000000004,0.30779999999999996,0.0,1.0,0.0,1.0
language,relational_reasoning,0.017849414271899712,language_early,language_mid,0.005312499999999991,0.44701875,0.15625,0.5804999999999999,0.006562499999999992,0.15525
language,relational_reasoning,0.017849414271899712,language_early,language_late,0.018124999999999995,0.00405,0.25,0.2052,0.009374999999999988,0.0162
language,relational_reasoning,0.017849414271899712,language_mid,language_late,0.012812500000000004,0.015525,0.09375,0.8816999999999999,0.0028124999999999956,0.5795052631578947
