capability,child_region,parent_region,radius,child_density_ge_0.02,parent_density_ge_0.02,density_ratio_child_over_parent,child_positive_thicket_mass,parent_positive_thicket_mass,mass_ratio_child_over_parent
counting,vision_early,vision,0.017849414271899712,0.015625,0.015625,1.0,0.008124999999999964,0.00687499999999997,1.1818181818181819
counting,vision_early,vision,0.07139765708759885,0.0,0.03125,0.0,0.00437499999999998,0.0040624999999999845,1.076923076923076
counting,vision_mid,vision,0.0035698828543799426,0.0,0.0,,0.007499999999999965,0.00843749999999996,0.8888888888888888
counting,vision_mid,vision,0.017849414271899712,0.0,0.015625,0.0,0.006874999999999968,0.00687499999999997,0.9999999999999998
counting,vision_mid,vision,0.07139765708759885,0.078125,0.03125,2.5,0.010624999999999959,0.0040624999999999845,2.6153846153846154
counting,vision_late,vision,0.0035698828543799426,0.0,0.0,,0.004999999999999977,0.00843749999999996,0.5925925925925926
counting,vision_late,vision,0.017849414271899712,0.0,0.015625,0.0,0.008124999999999962,0.00687499999999997,1.1818181818181814
counting,vision_late,vision,0.07139765708759885,0.09375,0.03125,3.0,0.01062499999999996,0.0040624999999999845,2.615384615384616
counting,language_early,language,0.0035698828543799426,0.0,0.0,,0.004999999999999977,0.005937499999999972,0.8421052631578947
counting,language_early,language,0.017849414271899712,0.015625,0.015625,1.0,0.007812499999999965,0.007812499999999965,1.0
counting,language_early,language,0.07139765708759885,0.125,0.09375,1.3333333333333333,0.00968749999999997,0.008437499999999971,1.1481481481481486
counting,language_mid,language,0.0035698828543799426,0.0,0.0,,0.002812499999999987,0.005937499999999972,0.47368421052631576
counting,language_mid,language,0.017849414271899712,0.0,0.015625,0.0,0.00437499999999998,0.007812499999999965,0.5599999999999998
counting,language_mid,language,0.07139765708759885,0.046875,0.09375,0.5,0.008437499999999966,0.008437499999999971,0.9999999999999993
counting,language_late,language,0.0035698828543799426,0.0,0.0,,0.0012499999999999942,0.005937499999999972,0.21052631578947367
counting,language_late,language,0.017849414271899712,0.0,0.015625,0.0,0.00437499999999998,0.007812499999999965,0.5599999999999998
counting,language_late,language,0.07139765708759885,0.015625,0.09375,0.16666666666666666,0.008749999999999961,0.008437499999999971,1.0370370370370359
spatial_reasoning,vision_early,vision,0.0035698828543799426,0.171875,0.1875,0.9166666666666666,0.004062500000000004,0.0037500000000000033,1.0833333333333333
spatial_reasoning,vision_early,vision,0.017849414271899712,0.1875,0.1875,1.0,0.004375000000000004,0.0037500000000000033,1.1666666666666667
spatial_reasoning,vision_early,vision,0.07139765708759885,0.171875,0.203125,0.8461538461538461,0.0050000000000000044,0.005312500000000005,0.9411764705882353
spatial_reasoning,vision_mid,vision,0.0035698828543799426,0.359375,0.1875,1.9166666666666667,0.007500000000000007,0.0037500000000000033,2.0
spatial_reasoning,vision_mid,vision,0.017849414271899712,0.296875,0.1875,1.5833333333333333,0.0062500000000000056,0.0037500000000000033,1.6666666666666667
spatial_reasoning,vision_mid,vision,0.07139765708759885,0.234375,0.203125,1.1538461538461537,0.005937500000000005,0.005312500000000005,1.1176470588235294
spatial_reasoning,vision_late,vision,0.0035698828543799426,0.28125,0.1875,1.5,0.005625000000000005,0.0037500000000000033,1.5
spatial_reasoning,vision_late,vision,0.017849414271899712,0.296875,0.1875,1.5833333333333333,0.0062500000000000056,0.0037500000000000033,1.6666666666666667
spatial_reasoning,vision_late,vision,0.07139765708759885,0.3125,0.203125,1.5384615384615385,0.007187500000000006,0.005312500000000005,1.3529411764705883
spatial_reasoning,language_early,language,0.0035698828543799426,0.359375,0.25,1.4375,0.007812500000000007,0.005312500000000005,1.4705882352941178
spatial_reasoning,language_early,language,0.017849414271899712,0.515625,0.703125,0.7333333333333333,0.013750000000000012,0.026562500000000024,0.5176470588235295
spatial_reasoning,language_early,language,0.07139765708759885,0.578125,0.5,1.15625,0.03343750000000003,0.025625000000000023,1.3048780487804879
spatial_reasoning,language_mid,language,0.0035698828543799426,0.171875,0.25,0.6875,0.003437500000000003,0.005312500000000005,0.6470588235294118
spatial_reasoning,language_mid,language,0.017849414271899712,0.515625,0.703125,0.7333333333333333,0.013437500000000012,0.026562500000000024,0.5058823529411764
spatial_reasoning,language_mid,language,0.07139765708759885,0.46875,0.5,0.9375,0.017500000000000016,0.025625000000000023,0.6829268292682927
spatial_reasoning,language_late,language,0.0035698828543799426,0.234375,0.25,0.9375,0.0050000000000000044,0.005312500000000005,0.9411764705882353
spatial_reasoning,language_late,language,0.017849414271899712,0.515625,0.703125,0.7333333333333333,0.01187500000000001,0.026562500000000024,0.4470588235294118
spatial_reasoning,language_late,language,0.07139765708759885,0.65625,0.5,1.3125,0.028750000000000026,0.025625000000000023,1.1219512195121952
